"OBJECTID" "x" "y" "coarse" "clay" "silt" "sand" "pH" "OC" "N" "P" "K" "CEC" "pH_class"
90 744805.6543 5527854.857 13 18 30 52 5.34 62.7 5.1999998 15 58.6 15.9 "acidic"
91 746126.964 5425818.263 5 38 46 16 7.26 54.2 5.1999998 22.9 196.4 38.1 "neutral"
92 738751.205 5531779.25 9 18 34 47 6.69 16.5 1.4 95.8 218.3 11.8 "neutral"
93 739118.4144 5503777.803 9 15 32 53 5.96 30.7 2.4000001 17.2 138.3 10.9 "acidic"
94 739405.1348 5481764.237 5 23 37 40 6.07 29.8 2.9000001 15.7 76.6 14.3 "acidic"
95 735325.785 5487720.263 9 13 29 58 7.07 12.6 1.3 45.5 194.3 13.9 "neutral"
96 735871.1323 5445704.767 18 16 33 50 5.78 22.1 2.3 50 305.7 10.2 "acidic"
97 732802.1814 5527701.956 19 15 34 51 5.46 32 2.7 69 71 7.6 "acidic"
98 733430.0704 5479690.554 14 11 39 51 7.21 13.9 1.4 59.4 155.2 12.9 "neutral"
99 730934.0728 5517675.158 12 11 32 57 5.24 15.2 1.7 38.9 79.2 10.3 "acidic"
100 731168.565 5499670.522 15 10 23 67 5.93 9.1 1.1 49.8 243.8 5.1 "acidic"
101 732103.6443 5427645.481 22 24 70 6 7.36 16.6 1.8 54 665.6 18.8 "neutral"
102 729586.6667 5467637.477 5 8 13 79 7.07 14.4 1.2 43.5 189 7.4 "neutral"
103 727746.0266 5455609.857 19 51 42 7 5.6 48.9 4.4000001 0 99.5 20.8 "acidic"
104 727896.5093 5443603.129 9 8 24 68 6.17 9.8 0.9 76.2 145.7 4.8 "acidic"
105 722052.3642 5431527.159 5 20 49 31 7.25 12.9 1.4 48.8 167.8 14.2 "neutral"
106 717559.3779 5469492.847 6 14 8 77 7.39 7.9 0.9 30.5 166.7 10.4 "neutral"
107 711117.0239 5503418.115 5 11 15 73 5.49 23.8 1.8 41.2 42.9 8.8 "acidic"
108 708801.7526 5527395.275 7 20 25 55 5.7 23 2.2 17.3 120.8 8.4 "acidic"
109 709976.3078 5437380.266 8 36 53 11 7.5 20.5 2 49.4 308.9 22.8 "alkaline"
110 706774.9424 5529369.805 8 44 45 12 7.61 33.7 3.2 20.4 203.5 24.6 "alkaline"
111 704958.1672 5515346.442 3 7 18 75 6.17 10.3 1.1 51.8 90.1 7.5 "acidic"
112 703169.4371 5499315.459 4 30 33 37 5.9 36.8 3.2 10.3 68.9 13.4 "acidic"
113 703404.6696 5481313.253 4 18 67 16 7.12 11.3 1.2 25 209.6 10.2 "neutral"
114 701274.8719 5491288.604 5 18 45 37 6.53 22.9 2 29.1 53.5 9.6 "neutral"
115 699924.4947 5441255.214 11 24 68 8 6.49 21.7 2.0999999 82.1 289.9 16.9 "acidic"
116 695873.4313 5445205.712 28 26 60 14 7.11 22.7 2.4000001 87.3 529.5 17.7 "neutral"
117 690960.2221 5515165.181 8 17 41 42 5.35 23.5 2.2 0 45.5 4.7 "acidic"
118 690084.7962 5429126.978 11 26 63 11 7.16 17.3 1.8 22.3 233.5 14.6 "neutral"
119 687434.194 5479110.288 9 22 66 12 7.91 12.7 1.4 25.7 210.2 16 "alkaline"
120 687668.6897 5461107.901 23 21 67 12 6.38 15.2 1.6 50.9 193.3 12.2 "acidic"
121 685877.9615 5445078.411 13 21 69 9 7.55 16 1.6 28.5 219.8 17.1 "alkaline"
122 683512.7445 5473059.219 26 25 36 40 6.93 13.1 1.4 26.8 0 10.1 "neutral"
123 677699.3474 5458980.584 3 8 6 85 5.97 25.2 2.3 27.6 118.6 7.7 "acidic"
124 673751.7012 5454931.176 3 24 12 64 6 22.3 2.0999999 64.3 139.8 12.3 "acidic"
125 632496.6024 5550407.286 5 23 39 38 7.38 14.6 1.6 24.4 247.1 15.4 "neutral"
126 620422.9169 5556246.022 10 27 21 52 7.43 14.2 1.5 52.7 471.5 17.1 "neutral"
127 610586.998 5544117.176 2 52 32 16 8.12 18.8 1.8 78.4 537.9 25.5 "alkaline"
128 608534.2662 5548089.249 13 31 58 11 7.09 30.8 3 14.1 145.2 25.5 "neutral"
129 606269.1351 5568057.612 7 41 41 18 7.12 45.2 3.7 35.1 263.4 26.5 "neutral"
